Experiment,Session,Market,Period,LastPrice,Fundamental,VWAP_Buy,VWAP_Sell,VWAP_Overall,CloseDrift,CloseDrift_Pct,TotalVolume,Candidates_Sell,Candidates_Buy,Candidate_SubjectIDs_Sell,Candidate_SubjectIDs_Buy
Choice A,1,1.0,1,388.08,360,388.08,388.08,388.08,0.0,0.0,2,1,1,[np.int64(2)],[np.int64(2)]
Choice A,1,1.0,2,441.3,336,441.3,441.3,441.3,0.0,0.0,2,1,1,[np.int64(11)],[np.int64(11)]
Choice A,1,1.0,3,462.07,312,466.71400000000006,466.713,466.7135,-4.643500000000017,-0.9949358653649438,20,1,0,[np.int64(9)],[]
Choice A,1,1.0,4,553.69,288,544.8491666666667,544.85,544.8495833333333,8.840416666666783,1.62254261306066,24,1,0,[np.int64(3)],[]
Choice A,1,1.0,5,681.0500000000001,264,681.0500000000001,681.0500000000001,681.0500000000001,0.0,0.0,2,1,1,[np.int64(11)],[np.int64(11)]
Choice A,1,1.0,6,564.54,240,559.045,559.043,559.0440000000001,5.495999999999867,0.9831068753085386,20,1,0,[np.int64(3)],[]
Choice A,1,1.0,7,430.21,216,428.696875,428.69625,428.6965625,1.5134374999999523,0.3530323385786309,32,1,0,[np.int64(1)],[]
Choice A,1,1.0,8,508.32,192,502.6475,502.64375,502.645625,5.674374999999998,1.1289016988857703,16,1,0,[np.int64(5)],[]
Choice A,1,1.0,9,341.52,168,348.8833333333333,348.8826666666667,348.88300000000004,-7.363000000000056,-2.110449634977931,30,1,0,[np.int64(9)],[]
Choice A,1,1.0,10,282.31,144,278.7685714285714,278.76714285714286,278.76785714285717,3.542142857142835,1.2706424956761178,14,1,0,[np.int64(3)],[]
Choice A,1,1.0,11,182.36,120,185.8378260869565,185.83695652173913,185.83739130434785,-3.477391304347833,-1.8712010967980457,46,0,0,[],[]
Choice A,1,1.0,12,227.79,96,229.49,229.49333333333334,229.49166666666667,-1.7016666666666822,-0.7414938814045603,24,0,0,[],[]
Choice A,1,1.0,13,30.48,72,30.48,30.48,30.48,0.0,0.0,2,1,1,[np.int64(6)],[np.int64(6)]
Choice A,1,1.0,14,33.86,48,40.745000000000005,40.74250000000001,40.743750000000006,-6.883750000000006,-16.8952293296518,8,1,1,[np.int64(2)],[np.int64(4)]
Choice A,1,1.0,15,19.91,24,27.337857142857143,27.339285714285715,27.33857142857143,-7.428571428571431,-27.17249307623975,28,0,0,[],[]
Choice A,1,2.0,1,383.07,360,383.07,383.07,383.07,0.0,0.0,2,1,1,[np.int64(3)],[np.int64(3)]
Choice A,1,2.0,2,394.01,336,394.01,394.01,394.01,0.0,0.0,2,1,1,[np.int64(12)],[np.int64(12)]
Choice A,1,2.0,3,397.37,312,404.21333333333337,404.215,404.21416666666664,-6.844166666666638,-1.6932030668560532,24,1,0,[np.int64(2)],[]
Choice A,1,2.0,4,427.71,288,423.48,423.4808333333333,423.4804166666666,4.22958333333338,0.998767160622354,24,1,0,[np.int64(8)],[]
Choice A,1,2.0,5,494.42,264,488.47749999999996,488.475,488.47625,5.943750000000023,1.2167940611237544,8,1,0,[np.int64(9)],[]
Choice A,1,2.0,6,369.52,240,369.22857142857146,369.23,369.22928571428577,0.2907142857142162,0.0787354353953317,28,1,0,[np.int64(2)],[]
